epoch,accuracy,loss,val_accuracy,val_loss
0,0.8989999890327454,0.3322083652019501,0.9751666784286499,0.08904773741960526
1,0.9667592644691467,0.10990417748689651,0.984000027179718,0.055325936526060104
2,0.9752777814865112,0.08397695422172546,0.984000027179718,0.05152831971645355
3,0.9791666865348816,0.06828435510396957,0.9886666536331177,0.04159867763519287
4,0.9810925722122192,0.06093308702111244,0.9886666536331177,0.03955858200788498
5,0.9830740690231323,0.05510539188981056,0.9896666407585144,0.0382433719933033
6,0.9842036962509155,0.050899166613817215,0.9893333315849304,0.03548289090394974
7,0.9858148097991943,0.04763695225119591,0.9898333549499512,0.03342120349407196
8,0.9860925674438477,0.04482674598693848,0.9923333525657654,0.03229661285877228
9,0.9867777824401855,0.04259151592850685,0.9928333163261414,0.03175245597958565
10,0.9875925779342651,0.04021570831537247,0.9923333525657654,0.030235914513468742
11,0.9880555272102356,0.03815579414367676,0.9915000200271606,0.031168179586529732
12,0.988703727722168,0.03695650026202202,0.9908333420753479,0.03324121981859207
